NAME,TYPE,LOCATION,
"ADFendpoint","Data collection endpoint","East US"
"azuredatafactory","API Connection","East US"
"azuremonitorlogs","API Connection","East US"
"azuremonitorlogs-1","API Connection","East US"
"azuremonitorlogs-2","API Connection","East US"
"CSVtoJSONEmployeess","Data factory (V2)","East US"
"employeess","Storage account","East US"
"LogicAppsManagement(Zingmindloganalytics)","Solution","East US"
"sakshi200solanki-3535","Azure AI project","East US"
"Zingmind","Azure AI hub","East US"
"zingmind1202041612","Storage account","East US"
"zingmind4453176354","Key vault","East US"
"zingmind7806238353","Azure AI services","East US"
"Zingmindloganalytics","Log Analytics workspace","East US"