"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"creditCardDetail","6/10/2024, 6:45:00 PM","6/10/2024, 6:45:18 PM","18s","OfficialData","Succeeded","","Original","","[]","5d4c1c54-b2b6-43d1-b26c-7383b86c2bcd"
"OfficialData","6/10/2024, 6:45:00 PM","6/10/2024, 6:45:17 PM","17s","OfficialData","Succeeded","","Original","","[]","37ede85b-cea5-4f21-ba7b-a837756d3778"
"WineData","6/10/2024, 6:45:00 PM","6/10/2024, 6:46:43 PM","1m 43s","OfficialData","Succeeded","","Original","","[]","1969ccb0-de83-4786-a71e-f48b48729e7a"
"netflixData","6/10/2024, 6:45:00 PM","6/10/2024, 6:45:17 PM","18s","OfficialData","Succeeded","","Original","","[]","8e4e1c41-32e7-49b7-8948-d03ed3a4da97"
"netflixData","6/10/2024, 6:40:00 PM","6/10/2024, 6:40:15 PM","16s","OfficialData","Succeeded","","Original","","[]","ba1a7110-4de0-467f-a5af-4420935bf9b4"
"OfficialData","6/10/2024, 6:40:00 PM","6/10/2024, 6:40:18 PM","18s","OfficialData","Succeeded","","Original","","[]","7b10e658-de4e-4492-b1c0-3b7be06f5528"
"creditCardDetail","6/10/2024, 6:40:00 PM","6/10/2024, 6:40:15 PM","16s","OfficialData","Succeeded","","Original","","[]","f2d0a4e0-f20f-49b5-a9a1-1bfed132acd3"
"WineData","6/10/2024, 6:40:00 PM","6/10/2024, 6:40:15 PM","15s","OfficialData","Succeeded","","Original","","[]","06f47f7d-1161-4eea-a0fe-6462b6e68e75"
"creditCardDetail","6/10/2024, 6:36:47 PM","6/10/2024, 6:37:00 PM","14s","Manual trigger","Succeeded","","Original","","[]","83e07477-3eb0-451f-a137-e6e698ce1ce7"
"WineData","6/10/2024, 6:05:01 PM","6/10/2024, 6:05:36 PM","36s","OfficialData","Succeeded","","Original","","[]","39a3a0e2-2f7a-4774-ae3f-d0a890e169db"
"netflixData","6/10/2024, 6:05:01 PM","6/10/2024, 6:05:40 PM","40s","OfficialData","Succeeded","","Original","","[]","a9323e40-c9a6-499a-89b3-a06e83701be6"
"creditCardDetail","6/10/2024, 6:05:01 PM","6/10/2024, 6:05:37 PM","37s","OfficialData","Succeeded","","Original","","[]","a745753b-6a97-4244-a80b-eb695a13b1d8"
"OfficialData","6/10/2024, 6:05:01 PM","6/10/2024, 6:05:38 PM","38s","OfficialData","Succeeded","","Original","","[]","efcb5b8b-9ea3-47f2-97bb-31415593b363"
"netflixData","6/10/2024, 6:00:00 PM","6/10/2024, 6:00:35 PM","35s","OfficialData","Succeeded","","Original","","[]","af3baf2e-bd6b-49ad-abf4-00767a832919"
"creditCardDetail","6/10/2024, 6:00:00 PM","6/10/2024, 6:00:16 PM","16s","OfficialData","Succeeded","","Original","","[]","88e2e867-79e5-4c21-9bc2-9fd4df3d4892"
"WineData","6/10/2024, 6:00:00 PM","6/10/2024, 6:00:17 PM","17s","OfficialData","Succeeded","","Original","","[]","761cae95-60db-4726-95e2-6420ad6cec96"
"OfficialData","6/10/2024, 6:00:00 PM","6/10/2024, 6:00:30 PM","30s","OfficialData","Succeeded","","Original","","[]","4a270d6a-4dba-4d7c-81a1-d50bdd01406d"
"WineData","6/10/2024, 5:55:00 PM","6/10/2024, 5:55:13 PM","13s","OfficialData","Succeeded","","Original","","[]","e06a00a1-7fe3-4fb0-928b-b327be2d9805"
"OfficialData","6/10/2024, 5:55:00 PM","6/10/2024, 5:55:15 PM","15s","OfficialData","Succeeded","","Original","","[]","85435077-ea03-4a02-a099-edfdf114f0d6"
"creditCardDetail","6/10/2024, 5:55:00 PM","6/10/2024, 5:55:13 PM","13s","OfficialData","Succeeded","","Original","","[]","8725f8b0-6b2a-4a9e-841f-a51434de50c5"
"netflixData","6/10/2024, 5:55:00 PM","6/10/2024, 5:55:16 PM","16s","OfficialData","Succeeded","","Original","","[]","7ad394ce-45fc-4242-bc7f-dfdadd2fd31f"
"netflixData","6/10/2024, 5:50:01 PM","6/10/2024, 5:50:18 PM","17s","OfficialData","Succeeded","","Original","","[]","53fa9f74-7a7a-475d-854d-ac0d1e295796"
"creditCardDetail","6/10/2024, 5:50:01 PM","6/10/2024, 5:50:15 PM","15s","OfficialData","Succeeded","","Original","","[]","3e9bc422-d7a6-4215-b025-e061d4c1f2fd"
"WineData","6/10/2024, 5:50:01 PM","6/10/2024, 5:50:15 PM","15s","OfficialData","Succeeded","","Original","","[]","5f540e3d-631e-423c-a75a-1fa688ef3b53"
"OfficialData","6/10/2024, 5:50:01 PM","6/10/2024, 5:50:19 PM","19s","OfficialData","Succeeded","","Original","","[]","2a07a9d4-9a48-4d36-aafd-c49ee92d520c"
"OfficialData","6/10/2024, 5:45:00 PM","6/10/2024, 5:45:17 PM","18s","OfficialData","Succeeded","","Original","","[]","d049546e-a45e-407c-8749-14377a13f5c6"
"netflixData","6/10/2024, 5:45:00 PM","6/10/2024, 5:45:15 PM","15s","OfficialData","Succeeded","","Original","","[]","03ce5492-8888-467f-b087-9a1c55b661e0"
"WineData","6/10/2024, 5:45:00 PM","6/10/2024, 5:45:18 PM","19s","OfficialData","Succeeded","","Original","","[]","475c3847-96dd-4e9c-b0f4-ce636e248910"
"creditCardDetail","6/10/2024, 5:45:00 PM","6/10/2024, 5:45:17 PM","17s","OfficialData","Succeeded","","Original","","[]","daf9b3cf-940d-4568-b401-df4b32dff024"
"creditCardDetail","6/10/2024, 5:40:00 PM","6/10/2024, 5:40:17 PM","17s","OfficialData","Succeeded","","Original","","[]","366d3baa-35cf-403d-b490-ef8a2db7aba0"
"netflixData","6/10/2024, 5:40:00 PM","6/10/2024, 5:40:17 PM","17s","OfficialData","Succeeded","","Original","","[]","c680fd6e-d7ec-46d3-a5f6-1fe0174b841f"
"OfficialData","6/10/2024, 5:40:00 PM","6/10/2024, 5:40:16 PM","16s","OfficialData","Succeeded","","Original","","[]","3ba3108e-9c5d-417c-99a4-903b7fe76516"
"WineData","6/10/2024, 5:40:00 PM","6/10/2024, 5:40:15 PM","15s","OfficialData","Succeeded","","Original","","[]","b949814b-23da-4c29-9882-df885cc62526"
"WineData","6/10/2024, 5:35:00 PM","6/10/2024, 5:35:42 PM","43s","OfficialData","Succeeded","","Original","","[]","619f372f-7e8c-4f58-ad74-141816dd2eeb"
"creditCardDetail","6/10/2024, 5:35:00 PM","6/10/2024, 5:35:40 PM","40s","OfficialData","Succeeded","","Original","","[]","79452a45-116f-4d30-918e-a334477176ff"
"netflixData","6/10/2024, 5:35:00 PM","6/10/2024, 5:35:41 PM","42s","OfficialData","Succeeded","","Original","","[]","3cfc1c91-6c02-41be-b66b-189dd64d0713"
"OfficialData","6/10/2024, 5:35:00 PM","6/10/2024, 5:35:41 PM","42s","OfficialData","Succeeded","","Original","","[]","505a69d1-5159-4f01-9825-4cf7f78c9088"
"WineData","6/10/2024, 5:30:00 PM","6/10/2024, 5:30:22 PM","22s","OfficialData","Succeeded","","Original","","[]","d39fe3a2-61ab-4a64-ab37-a220fd9220d3"
"netflixData","6/10/2024, 5:30:00 PM","6/10/2024, 5:31:17 PM","1m 17s","OfficialData","Succeeded","","Original","","[]","c54b4a68-b22f-4651-acfa-3f9cd793528e"
"creditCardDetail","6/10/2024, 5:30:00 PM","6/10/2024, 5:30:49 PM","50s","OfficialData","Succeeded","","Original","","[]","9116b88e-c1ac-4bc7-939f-19a2cad5c5bf"
"OfficialData","6/10/2024, 5:30:00 PM","6/10/2024, 5:30:19 PM","19s","OfficialData","Succeeded","","Original","","[]","58929232-db99-40be-9162-06fbbb978961"
"WineData","6/10/2024, 5:25:00 PM","6/10/2024, 5:25:16 PM","16s","OfficialData","Succeeded","","Original","","[]","24b24b05-51b3-486d-8e28-85bef5941ae4"
"creditCardDetail","6/10/2024, 5:25:00 PM","6/10/2024, 5:25:16 PM","16s","OfficialData","Succeeded","","Original","","[]","af44991b-435a-48ff-b62c-3c63c60d57c9"
"netflixData","6/10/2024, 5:25:00 PM","6/10/2024, 5:25:14 PM","15s","OfficialData","Succeeded","","Original","","[]","da3c7a2e-ead8-481e-842d-3a366f7f1b2b"
"OfficialData","6/10/2024, 5:25:00 PM","6/10/2024, 5:25:16 PM","17s","OfficialData","Succeeded","","Original","","[]","1ce77034-568f-4393-bf39-596f391f9274"
"creditCardDetail","6/10/2024, 5:23:18 PM","6/10/2024, 5:23:35 PM","17s","Manual trigger","Succeeded","","Original","","[]","9612c005-913e-4c41-bfaf-2e8f5a5085d8"
"netflixData","6/3/2024, 4:44:09 PM","6/3/2024, 4:44:28 PM","19s","Manual trigger","Canceled","","Original","","[]","21b97257-dd79-48b7-bf82-042f603a3a33"
"creditCardDetail","6/3/2024, 4:43:35 PM","6/3/2024, 4:43:55 PM","21s","Manual trigger","Canceled","","Original","","[]","66a9f292-0ce7-4c57-a282-43a22328ac81"
"netflixData","6/3/2024, 4:42:00 PM","6/3/2024, 4:42:13 PM","13s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:706473ea-201e-0050-53a6-b54beb000000 Time:Mon, 03 Jun 2024 11:12:11 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","a45bcef8-24a8-4e0b-a2eb-3177b5d4b58f"
"netflixData","6/3/2024, 4:41:00 PM","6/3/2024, 4:41:15 PM","16s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:d7ee1ef4-201e-006f-73a6-b58348000000 Time:Mon, 03 Jun 2024 11:11:12 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","b0dd8d79-fbe4-4986-b7e0-892ccb7bb44d"
"netflixData","6/3/2024, 4:40:01 PM","6/3/2024, 4:40:24 PM","24s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:eb24b2f4-801e-0049-1ea6-b5cb50000000 Time:Mon, 03 Jun 2024 11:10:21 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","acc7bc03-af43-4979-ba0e-f754b30c22e3"
"netflixData","6/3/2024, 4:39:00 PM","6/3/2024, 4:39:13 PM","13s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:9ffa9d64-101e-0016-04a6-b57f6c000000 Time:Mon, 03 Jun 2024 11:09:10 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","5e988de1-81a8-4e2a-909b-0be4e5111066"
"WineData","6/3/2024, 4:38:33 PM","6/3/2024, 4:38:47 PM","14s","Manual trigger","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:0adb3dee-401e-001b-61a6-b5b7b8000000 Time:Mon, 03 Jun 2024 11:08:45 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","197bf3e0-41ae-429d-ab8a-b6bdbec348a1"
"netflixData","6/3/2024, 4:38:00 PM","6/3/2024, 4:38:14 PM","15s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: Spreadsheet.cs.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:51da6094-701e-004d-10a6-b54657000000 Time:Mon, 03 Jun 2024 11:08:11 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","7986ccc1-cc89-4d31-bd4e-4dfaa428a0e7"
"netflixData","6/3/2024, 4:37:00 PM","6/3/2024, 4:37:14 PM","14s","pipeline2","Succeeded","","Original","","[]","fb70a49c-cec8-41cc-909b-c6727176dc07"
"netflixData","6/3/2024, 4:36:00 PM","6/3/2024, 4:36:15 PM","16s","pipeline2","Succeeded","","Original","","[]","ecbfc319-810e-4244-98ce-44fce25bfd66"
"netflixData","6/3/2024, 4:34:59 PM","6/3/2024, 4:35:13 PM","14s","pipeline2","Succeeded","","Original","","[]","b6588ab6-17f1-4091-994a-732f812815a7"
"netflixData","6/3/2024, 4:34:00 PM","6/3/2024, 4:34:14 PM","14s","pipeline2","Succeeded","","Original","","[]","6de5ba31-8fd6-4150-8746-be897ef12bab"
"creditCardDetail","6/3/2024, 4:27:00 PM","6/3/2024, 4:27:16 PM","17s","pipeline1","Succeeded","","Original","","[]","b0a8d8ad-0674-4b26-8acb-592f0b79859d"
"creditCardDetail","6/3/2024, 4:26:01 PM","6/3/2024, 4:26:14 PM","14s","pipeline1","Succeeded","","Original","","[]","629d30e0-7dff-4bdb-82ce-b9ff2586741a"
"WineData","6/3/2024, 4:15:00 PM","6/3/2024, 4:15:15 PM","15s","OfficialData","Succeeded","","Original","","[]","2dad687f-7b8d-488a-a387-91c42f055415"
"OfficialData","6/3/2024, 4:15:00 PM","6/3/2024, 4:15:14 PM","14s","OfficialData","Succeeded","","Original","","[]","4074a18c-a6ab-4b69-b266-4fbfcba2a248"
"creditCardDetail","6/3/2024, 4:15:00 PM","6/3/2024, 4:15:18 PM","18s","OfficialData","Succeeded","","Original","","[]","93a3cff4-20ad-4bc5-8692-c42ea2ffd27f"
"netflixData","6/3/2024, 4:15:00 PM","6/3/2024, 4:15:17 PM","17s","OfficialData","Succeeded","","Original","","[]","c392f53f-97eb-40a3-a062-ae1d9181eac4"
"WineData","6/3/2024, 4:10:00 PM","6/3/2024, 4:10:14 PM","14s","OfficialData","Succeeded","","Original","","[]","6f2fa9d7-4897-4ffe-8ee0-2d6ed7c87def"
"netflixData","6/3/2024, 4:10:00 PM","6/3/2024, 4:10:14 PM","15s","OfficialData","Succeeded","","Original","","[]","acb73a99-fd6e-4a6c-b7fc-f101c99fccce"
"creditCardDetail","6/3/2024, 4:10:00 PM","6/3/2024, 4:10:13 PM","14s","OfficialData","Succeeded","","Original","","[]","b066d55e-1b73-44e5-a81c-a2a2597f1ca0"
"OfficialData","6/3/2024, 4:10:00 PM","6/3/2024, 4:10:12 PM","13s","OfficialData","Succeeded","","Original","","[]","a9173647-e8c4-4119-8e67-fba31f4828ef"
"netflixData","6/3/2024, 4:05:00 PM","6/3/2024, 4:05:37 PM","37s","OfficialData","Succeeded","","Original","","[]","75b4bc25-c38a-4e4f-98a8-7a61918c0b48"
"WineData","6/3/2024, 4:05:00 PM","6/3/2024, 4:05:16 PM","16s","OfficialData","Succeeded","","Original","","[]","54714021-2a2b-4421-8f1e-88be40abeaeb"
"creditCardDetail","6/3/2024, 4:05:00 PM","6/3/2024, 4:05:14 PM","15s","OfficialData","Succeeded","","Original","","[]","19095446-e9e7-4f7a-b8e9-edc53d135b06"
"OfficialData","6/3/2024, 4:05:00 PM","6/3/2024, 4:05:18 PM","18s","OfficialData","Succeeded","","Original","","[]","cd4de349-1d54-4d85-b16c-f91cb31503a2"
"WineData","6/3/2024, 3:30:10 PM","6/3/2024, 3:30:30 PM","20s","Manual trigger","Succeeded","","Original","","[]","0f4a8005-b58f-4b53-84e5-b46c1521b7e1"
"OfficialData","6/3/2024, 3:29:14 PM","6/3/2024, 3:29:26 PM","13s","Manual trigger","Succeeded","","Original","","[]","2d54ecb6-943c-4f96-ae2e-d4e89ed4d981"
"creditCardDetail","6/3/2024, 3:28:38 PM","6/3/2024, 3:28:53 PM","16s","Manual trigger","Succeeded","","Original","","[]","8903c8d4-efc3-4f6a-b8dc-840fb98e1b80"
"OfficialData","5/15/2024, 4:48:00 PM","5/15/2024, 4:48:19 PM","19s","OfficialData","Succeeded","","Original","","[]","03e09274-55ff-451d-ac4d-35d32abe4d4c"
"creditCardDetail","5/15/2024, 4:48:00 PM","5/15/2024, 4:48:58 PM","58s","OfficialData","Succeeded","","Original","","[]","44c85811-bdda-4a52-89f4-52cd18c493c7"
"netflixData","5/15/2024, 4:48:00 PM","5/15/2024, 4:49:08 PM","1m 8s","OfficialData","Succeeded","","Original","","[]","b9ba0a72-b820-4a1f-b8d1-ba4d2afee86f"
"WineData","5/15/2024, 4:48:00 PM","5/15/2024, 4:48:19 PM","19s","OfficialData","Succeeded","","Original","","[]","704ffbed-9276-494f-a5ee-e2a8c82aa236"
