"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"OfficialData","5/15/2024, 4:44:25 PM","5/15/2024, 4:48:24 PM","3m 59s","Manual trigger","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","2d7f61e2-861f-4b31-aabe-b385add0a1f5"
"creditCardDetail","5/15/2024, 4:44:00 PM","5/15/2024, 4:44:17 PM","18s","OfficialData","Failed","Operation on target card_details failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:4656de7d-b01e-0042-67b9-a6303b000000 Time:Wed, 15 May 2024 11:14:14 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","e390cbd3-393e-454f-94e2-33ab72cdcf90"
"WineData","5/15/2024, 4:44:00 PM","5/15/2024, 4:44:22 PM","22s","OfficialData","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:374d07cb-101e-0029-76b9-a6b7cf000000 Time:Wed, 15 May 2024 11:14:18 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","5eaedafe-dd44-4469-8dad-b66d93475ed6"
"OfficialData","5/15/2024, 4:44:00 PM","5/15/2024, 4:46:53 PM","2m 54s","OfficialData","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","6f505b99-4f50-4acc-b692-26abcf77fae6"
"netflixData","5/15/2024, 4:44:00 PM","5/15/2024, 4:44:22 PM","23s","OfficialData","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:632981c8-601e-0033-76b9-a6d610000000 Time:Wed, 15 May 2024 11:14:13 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","c3ffc391-c4d3-450c-91e9-4de6fa67dbad"
"OfficialData","5/15/2024, 4:43:43 PM","5/15/2024, 4:46:44 PM","3m 2s","Manual trigger","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","490a62b3-65e7-4ea5-bca3-a81e0ff7326b"
"creditCardDetail","5/15/2024, 4:40:00 PM","5/15/2024, 4:40:12 PM","13s","OfficialData","Failed","Operation on target card_details failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:69998f86-701e-0010-70b8-a64cd3000000 Time:Wed, 15 May 2024 11:10:10 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","9ddb3a4a-2a49-4a9c-b7c1-78f7da7343d4"
"WineData","5/15/2024, 4:40:00 PM","5/15/2024, 4:40:14 PM","15s","OfficialData","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:56a27442-501e-0007-56b8-a6e5d8000000 Time:Wed, 15 May 2024 11:10:10 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","9e644a58-c917-4cb4-8ead-d623a6da104b"
"OfficialData","5/15/2024, 4:40:00 PM","5/15/2024, 4:42:40 PM","2m 41s","OfficialData","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","9a2769b8-91a3-478c-8bf5-b0da6f508484"
"netflixData","5/15/2024, 4:40:00 PM","5/15/2024, 4:40:19 PM","19s","OfficialData","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:095e5d81-101e-005b-73b8-a6b080000000 Time:Wed, 15 May 2024 11:10:14 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","73119b6f-298d-478c-a879-31a92a355a78"
"OfficialData","5/15/2024, 4:39:40 PM","5/15/2024, 4:42:51 PM","3m 11s","Manual trigger","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","428d506d-b0a1-472e-8d2c-6914b7626b30"
"WineData","5/15/2024, 4:36:00 PM","5/15/2024, 4:36:16 PM","16s","OfficialData","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:3b155317-401e-0024-5bb7-a67f1b000000 Time:Wed, 15 May 2024 11:06:12 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","2c3c3d6e-e46e-492c-a7e5-12f8c7ebfa69"
"OfficialData","5/15/2024, 4:36:00 PM","5/15/2024, 4:38:43 PM","2m 44s","OfficialData","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","68cbbd19-641b-47fc-9cf2-a7b20cc68d40"
"creditCardDetail","5/15/2024, 4:36:00 PM","5/15/2024, 4:36:13 PM","14s","OfficialData","Failed","Operation on target card_details failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:464e412b-b01e-0042-3fb7-a6303b000000 Time:Wed, 15 May 2024 11:06:11 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","97e42ddb-9112-4b76-99d8-070e3f21e7b5"
"netflixData","5/15/2024, 4:36:00 PM","5/15/2024, 4:36:17 PM","17s","OfficialData","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:06fca2ec-f01e-0043-26b7-a66fe7000000 Time:Wed, 15 May 2024 11:06:14 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","3ecbae58-d255-4bea-a7fe-40f72f8d410c"
"WineData","5/15/2024, 4:35:55 PM","5/15/2024, 4:36:08 PM","14s","Manual trigger","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:04c396ea-601e-0023-21b7-a61378000000 Time:Wed, 15 May 2024 11:06:05 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","fb82c694-a7ce-4e45-ad71-6813d1fe8ddc"
"creditCardDetail","5/15/2024, 4:32:01 PM","5/15/2024, 4:32:33 PM","33s","OfficialData","Failed","Operation on target card_details failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:dca0f18e-301e-0011-3db7-a6130f000000 Time:Wed, 15 May 2024 11:02:24 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","0ab4d3aa-251e-4825-a53a-806d2476d294"
"WineData","5/15/2024, 4:32:01 PM","5/15/2024, 4:32:20 PM","20s","OfficialData","Failed","Operation on target wine_data failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:99dd1973-101e-0016-56b7-a67f6c000000 Time:Wed, 15 May 2024 11:02:18 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","01aa2656-6d81-43fa-af2c-d9a30e750cf2"
"netflixData","5/15/2024, 4:32:00 PM","5/15/2024, 4:33:29 PM","1m 29s","OfficialData","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:e337c806-d01e-0009-2db7-a6cc68000000 Time:Wed, 15 May 2024 11:02:15 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","fd53be99-259e-4dce-ad49-cd82bbf2c08d"
"OfficialData","5/15/2024, 4:32:00 PM","5/15/2024, 4:34:58 PM","2m 58s","OfficialData","Failed","Operation on target Data flow1 failed: {""StatusCode"":""DF-Executor-InvalidPath"",""Message"":""Job failed due to reason: at Source 'source1': Path /nghhj/credit_card_transcations (3).csv does not resolve to any file(s). Please make sure the file/folder exists and is not hidden. At the same time, please ensure special character is not included in file/folder name, for example, name starting with _"",""Details"":""""}","Original","","[]","d84450aa-c453-4b36-90c6-519acaaa9167"
"netflixData","5/9/2024, 5:18:00 PM","5/9/2024, 5:18:13 PM","13s","pipeline2","Failed","Operation on target netflixData failed: ErrorCode=UserErrorSourceBlobNotExist,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=The required Blob is missing. Please contact Blob Storage team if you need further support. ContainerName: https://employeess.blob.core.windows.net/employeess, path: nghhj/credit_card_transcations (3).csv.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.WindowsAzure.Storage.StorageException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,StorageExtendedMessage=RequestId:8a0dee2e-401e-0034-4906-a2ba73000000 Time:Thu, 09 May 2024 11:48:10 GMT,,''Type=System.Net.WebException,Message=The remote server returned an error: (404) Not Found.,Source=Microsoft.WindowsAzure.Storage,'","Original","","[]","c0b24e2d-73b3-4f7a-aff6-c0e701d6b651"